off1,off2,off3,off4,off5,def1,def2,def3,def4,def5,Points
203405,204365,1628286,1628868,1627676,203563,203828,201516,1628931,1628890,2
203563,203828,201516,1628931,1628890,203405,204365,1628286,1628868,1627676,0
203405,204365,1628286,1628868,1627676,203563,203828,201516,1628931,1628890,2
203563,203828,201516,1628931,1628890,203405,204365,1628286,1628868,1627676,2
203405,204365,1628286,1628868,1627676,203563,203828,201516,1628931,1628890,0
204365,1627676,1628868,1628286,1628906,203563,201516,1628890,203828,1628931,0
203563,201516,1628890,203828,1628931,204365,1627676,1628868,1628286,1628906,2
204365,1627676,1628868,1628286,1628906,203563,201516,1628890,203828,1628931,0
203563,201516,1628890,203828,1628931,204365,1627676,1628868,1628286,1628906,2
204365,1627676,1628868,1628286,1628906,203563,201516,1628890,203828,1628931,2
203563,201516,1628890,203828,1628931,204365,200676,1628868,1628927,1628906,2
204365,200676,1628868,1628927,1628906,203563,201516,1628890,203828,1628931,3
203563,201516,1628890,203828,1628931,204365,200676,1628868,1628927,1628906,0
204365,200676,1628868,1628927,1628906,203563,201516,1628890,203828,1628931,0
203563,201516,1628890,203828,1628931,204365,200676,1628868,1628927,1628906,3
204365,200676,1628868,1628927,1628906,203857,201516,1628890,203828,1628931,0
203857,201516,1628890,203828,1628931,204365,200676,1628868,1628927,1628906,0
204365,200676,1628868,1628927,1628906,203857,201516,1628890,203828,1628931,0
203857,201516,1628890,203828,1628931,204365,200676,1628868,1628927,1628906,0
204365,200676,1628868,1628927,1628906,203857,201516,1628890,203828,1628931,2
203857,201516,1628890,203828,1628931,204365,200676,1628868,1628927,1628906,0
204365,200676,1628868,1628927,1628906,203857,201516,1628890,203828,1628931,0
203857,201516,1628890,203828,1628931,204365,200676,1628868,1628927,1628906,2
204365,200676,1628868,1628927,203831,203857,204323,202652,1628268,1627674,0
203857,204323,202652,1628268,1627674,1628909,200676,1628868,1627676,203831,3
1628909,200676,1628868,1627676,203831,203857,204323,202652,1628268,1627674,0
203857,204323,202652,1628268,1627674,1628909,200676,1628868,1627676,203831,2
1628909,200676,1628868,1627676,203831,203857,204323,202652,1628268,1627674,3
203857,204323,202652,1628268,1627674,1628909,200676,1628868,1627676,203831,3
1628909,200676,1628868,1627676,203831,203857,204323,202652,1628268,1627674,3
203857,204323,202652,1628268,1627674,1628909,200676,1628868,1627681,203831,1
1628909,200676,1628868,1627681,203831,203857,204323,202652,1628268,1627674,0
